step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
210,CASH_OUT,148123.04,C368571724,290279.99,142156.95,C1125025410,507216.76,655339.8,0,0
354,TRANSFER,243117.77,C46039367,0.0,0.0,C603755200,3127461.97,3370579.75,0,0
183,CASH_OUT,247645.37,C389623609,24876.0,0.0,C641152271,1081288.03,1328933.4,0,0
14,TRANSFER,321630.05,C285224911,29859.0,0.0,C1111292808,31066.0,0.0,0,0
12,CASH_IN,78336.89,C1383762579,30875.0,109211.89,C972765878,0.0,628973.95,0,0
345,CASH_IN,316405.43,C1526871575,8359471.05,8675876.48,C2072772190,1534504.67,1218099.24,0,0
229,TRANSFER,946327.49,C1944674466,0.0,0.0,C1990779832,999013.04,1945340.53,0,0
130,TRANSFER,213347.04,C2011355981,0.0,0.0,C737489499,1996039.94,2475445.65,0,0
166,CASH_IN,56801.09,C1567598735,3496652.51,3553453.6,C279565067,1429097.41,1372296.32,0,0
325,CASH_IN,521177.7,C1466066947,518854.0,1040031.7,C1092639004,24021.66,0.0,0,0
595,CASH_IN,69581.84,C793787998,11348.0,80929.84,C44991297,1694348.24,1624766.4,0,0
21,DEBIT,101.98,C2073210152,21653.0,21551.02,C1539716079,263091.3,263193.28,0,0
44,CASH_OUT,8784.82,C1964892781,31416.0,22631.18,C1063608678,547693.8,556478.62,0,0
38,CASH_OUT,82538.01,C148013912,0.0,0.0,C766681183,20870956.66,20953494.67,0,0
96,CASH_OUT,242030.38,C2029206978,0.0,0.0,C1712237759,1213897.81,1455928.2,0,0
18,CASH_OUT,144677.08,C1548928097,0.0,0.0,C729255592,1110386.05,1662477.39,0,0
22,CASH_IN,322205.86,C905373755,6640746.39,6962952.26,C1522743169,395176.76,72970.9,0,0
259,CASH_OUT,133825.68,C1671252281,17169.0,0.0,C298906210,0.0,133825.68,0,0
140,TRANSFER,449973.0,C478393887,0.0,0.0,C985114937,3398260.36,3848233.36,0,0
405,CASH_OUT,184574.74,C1690103072,557348.1,372773.36,C1883460887,1436000.52,1620575.26,0,0
240,TRANSFER,1488373.02,C837187372,0.0,0.0,C1562052816,1676647.4,3165020.42,0,0
37,CASH_IN,15144.38,C550249536,73728.0,88872.38,C144473930,0.0,0.0,0,0
566,CASH_OUT,8540.43,C902576654,0.0,0.0,C1579821297,934491.76,943032.19,0,0
400,PAYMENT,6459.36,C1045133827,150378.0,143918.64,M10169660,0.0,0.0,0,0
181,CASH_OUT,153065.3,C1217544240,0.0,0.0,C184163720,1269111.59,1422176.89,0,0
254,CASH_OUT,32890.81,C1919446980,0.0,0.0,C1275981046,2616074.12,2648964.93,0,0
155,CASH_OUT,238079.02,C714149085,0.0,0.0,C1136419747,5665825.05,5903904.07,0,0
41,CASH_OUT,196403.13,C397595638,0.0,0.0,C449117351,296862.98,493266.11,0,0
323,CASH_IN,246035.95,C851494828,349.0,246384.95,C579440834,0.0,0.0,0,0
39,CASH_OUT,174468.17,C2037425745,59696.0,0.0,C26097518,10132.88,351314.29,0,0
345,TRANSFER,1955383.78,C1994581957,0.0,0.0,C1526507740,2818279.89,4773663.68,0,0
164,CASH_OUT,49510.17,C1084933447,0.0,0.0,C1293978242,5506738.24,5556248.41,0,0
139,CASH_OUT,573256.95,C1276893021,0.0,0.0,C877334652,6878685.0,7451941.95,0,0
399,CASH_OUT,2457.47,C1326804945,31252.0,28794.53,C7881234,8791755.55,8794213.01,0,0
9,CASH_OUT,4097.16,C275090185,0.0,0.0,C185805228,5956343.97,6076889.75,0,0
254,CASH_OUT,200108.75,C1176136860,0.0,0.0,C124540047,11043882.36,11243991.11,0,0
253,TRANSFER,100916.1,C1281283773,0.0,0.0,C1460548505,6646475.78,6747391.88,0,0
375,CASH_OUT,173714.11,C184397510,90233.0,0.0,C1137673642,0.0,173714.11,0,0
19,TRANSFER,617709.07,C2140163613,2034.0,0.0,C1506986844,7131747.87,7749456.94,0,0
670,TRANSFER,10000000.0,C2085303535,12113271.99,2113271.99,C1010370571,0.0,0.0,1,0
189,CASH_OUT,169744.2,C2064255376,103407.0,0.0,C1192227259,8311894.05,8481638.25,0,0
33,CASH_OUT,34304.39,C925511473,864992.0,830687.61,C864078397,3050877.71,3085182.11,0,0
280,CASH_IN,23208.68,C1047546584,10850.0,34058.68,C774151171,220341.11,197132.43,0,0
120,CASH_IN,114464.9,C467996131,345.0,114809.9,C1324874027,0.0,0.0,0,0
188,CASH_IN,39989.86,C1956056106,420.0,40409.86,C1627379834,167340.59,127350.74,0,0
206,CASH_IN,300458.64,C1880303106,5328645.34,5629103.98,C887155810,2152292.07,1851833.43,0,0
250,TRANSFER,863241.58,C1162693613,0.0,0.0,C1742759335,1433179.45,2296421.03,0,0
254,CASH_IN,28505.56,C1636359953,177394.0,205899.56,C1610372134,3150166.69,3121661.13,0,0
204,CASH_OUT,272783.27,C907311609,0.0,0.0,C1542680633,1175565.5,1448348.77,0,0
23,TRANSFER,1282693.9,C1515188432,0.0,0.0,C1036969884,1355038.94,2637732.84,0,0
297,CASH_OUT,181364.7,C1190680660,105285.0,0.0,C685365077,80536.61,261901.31,0,0
156,PAYMENT,35524.53,C1760832628,227243.63,191719.1,M1212286153,0.0,0.0,0,0
527,TRANSFER,62410.53,C228557879,0.0,0.0,C734792061,3581138.48,3643549.01,0,0
305,CASH_OUT,24817.29,C1243598207,361.0,0.0,C1895261064,0.0,24817.29,0,0
237,CASH_IN,379649.55,C1638516085,247996.42,627645.97,C1479799057,628860.07,249210.51,0,0
166,PAYMENT,4771.24,C1517691606,1367.0,0.0,M207211818,0.0,0.0,0,0
410,TRANSFER,1232013.7,C599746221,1232013.7,0.0,C1135653502,0.0,0.0,1,0
20,TRANSFER,388398.63,C1114512598,0.0,0.0,C449261773,8396139.48,8883392.03,0,0
154,CASH_OUT,5767.63,C377988436,7093.0,1325.37,C1678539826,0.0,5767.63,0,0
261,CASH_IN,113271.84,C1738097466,903290.51,1016562.35,C445084724,498170.31,384898.47,0,0
34,CASH_IN,281481.67,C9622569,7097.0,288578.67,C1997459124,26842.33,0.0,0,0
469,CASH_OUT,114889.8,C567232848,0.0,0.0,C1798388182,183385.35,298275.16,0,0
299,CASH_OUT,205718.69,C831553933,238584.64,32865.95,C34034576,329922.94,535641.63,0,0
373,CASH_OUT,503406.64,C1913951124,15925.0,0.0,C2127664545,53069.43,556476.07,0,0
236,TRANSFER,1180275.72,C53501720,0.0,0.0,C233644049,8049590.69,9229866.41,0,0
393,TRANSFER,750939.58,C754798119,0.0,0.0,C755069790,894086.54,1645026.11,0,0
207,CASH_OUT,42165.68,C782517809,0.0,0.0,C154319946,5982654.64,6024820.32,0,0
184,TRANSFER,443822.27,C877394000,9988.0,0.0,C1170590191,112939.83,556762.1,0,0
397,CASH_IN,115434.66,C1844496974,7070498.31,7185932.97,C1045954071,217405.81,101971.16,0,0
332,CASH_OUT,37663.93,C1285561819,101685.33,64021.4,C1253659543,75969.01,113632.94,0,0
156,CASH_OUT,89281.87,C460924298,103599.0,14317.13,C184389998,937083.46,1026365.33,0,0
351,CASH_OUT,36133.56,C316863229,994.09,0.0,C1780714769,497699.36,533832.92,0,0
332,TRANSFER,1918686.39,C207444476,0.0,0.0,C118648358,8331104.82,10249791.21,0,0
357,CASH_IN,110894.22,C1609414585,1490299.38,1601193.6,C1045004287,3055944.74,2945050.52,0,0
19,CASH_OUT,274126.31,C2102339234,545960.18,271833.86,C697156329,1950061.09,2224187.4,0,0
216,TRANSFER,31358.72,C22557199,31358.72,0.0,C1099497770,0.0,0.0,1,0
253,CASH_IN,494071.26,C1018218123,0.0,494071.26,C1191544932,10935036.91,10440965.65,0,0
165,CASH_IN,254390.5,C778032185,1095019.2,1349409.71,C133256042,1365680.06,1111289.56,0,0
9,CASH_OUT,291140.5,C995667425,15700.0,0.0,C1454031203,65699.3,356839.8,0,0
327,TRANSFER,283847.17,C1165734592,0.0,0.0,C1615749242,822279.31,1106126.48,0,0
136,CASH_OUT,629958.33,C1709129509,0.0,0.0,C303997307,5132871.02,5930153.92,0,0
9,CASH_OUT,544372.64,C1385346491,0.0,0.0,C124540047,707870.84,4584849.09,0,0
204,DEBIT,1522.98,C1810405891,156902.0,155379.02,C573462789,1762805.24,1764328.21,0,0
140,CASH_OUT,199522.32,C1275402773,0.0,0.0,C160106315,521456.84,720979.15,0,0
44,CASH_IN,225825.51,C736799184,3928437.46,4154262.96,C1454031203,5753037.85,5527212.34,0,0
15,CASH_OUT,131716.85,C150886179,11142.0,0.0,C1138178950,0.0,131716.85,0,0
139,CASH_IN,121594.44,C2085685835,70339.0,191933.44,C1366192319,0.0,0.0,0,0
18,CASH_OUT,99077.81,C1998538000,0.0,0.0,C1359699810,669438.6,768516.41,0,0
153,TRANSFER,1826844.59,C1222675513,0.0,0.0,C644163395,5017863.61,6844708.2,0,0
17,CASH_OUT,22730.78,C413754446,724.44,0.0,C574444599,682208.76,585302.16,0,0
204,PAYMENT,10390.88,C832495145,0.0,0.0,M818468143,0.0,0.0,0,0
378,CASH_OUT,40140.0,C509048135,16582.0,0.0,C1337869699,982027.01,1022167.01,0,0
36,CASH_IN,125163.02,C2071255910,20590.0,145753.02,C213105039,976748.92,851585.9,0,0
162,TRANSFER,157151.94,C537124413,0.0,0.0,C2005939725,3522721.57,3679873.51,0,0
41,CASH_OUT,403462.03,C1604964665,1816.0,0.0,C1129467798,0.0,798031.98,0,0
278,CASH_IN,146107.25,C1695819138,30731.0,176838.25,C1986745369,10139.15,0.0,0,0
374,PAYMENT,13819.54,C1662462178,16563.0,2743.46,M733168311,0.0,0.0,0,0
402,TRANSFER,66675.01,C2095776140,0.0,0.0,C1695441224,1782344.81,1849019.82,0,0
133,CASH_OUT,44454.65,C1930616360,409.0,0.0,C846511826,1155819.58,1200274.23,0,0
233,PAYMENT,26939.55,C69472064,0.0,0.0,M1024374542,0.0,0.0,0,0
180,TRANSFER,235683.82,C1848808551,0.0,0.0,C1210547818,1678113.72,1913797.54,0,0
637,CASH_OUT,157329.69,C437544613,0.0,0.0,C1479614331,371602.72,528932.41,0,0
226,CASH_OUT,141600.2,C1157442932,2007.0,0.0,C1241045648,0.0,141600.2,0,0
311,CASH_OUT,10878.7,C1736450300,32495.25,21616.55,C1857340685,29328.01,40206.71,0,0
229,CASH_OUT,46917.27,C354095763,0.0,0.0,C69798076,59539.67,106456.93,0,0
138,CASH_OUT,210736.31,C1187671469,0.0,0.0,C473607124,632246.52,842982.84,0,0
135,CASH_OUT,318985.88,C426245152,50141.0,0.0,C880907246,953272.41,1272258.29,0,0
33,CASH_OUT,418042.76,C1780972964,0.0,0.0,C1379589736,619297.22,1037339.98,0,0
134,CASH_IN,120639.39,C935048561,20831.0,141470.39,C1002952732,0.0,0.0,0,0
14,CASH_IN,223043.88,C704449912,2075954.65,2298998.53,C106171046,668028.88,391358.66,0,0
355,CASH_IN,120568.03,C969867996,10401781.72,10522349.76,C2123361614,5981673.51,5861105.47,0,0
19,CASH_IN,7343.42,C781936135,807863.51,815206.93,C133385139,453358.76,446015.34,0,0
574,CASH_IN,45659.88,C1632717035,4790587.94,4836247.83,C615658157,254654.36,208994.47,0,0
133,CASH_OUT,1389.34,C1131659394,0.0,0.0,C52390890,1279684.07,1532476.97,0,0
277,CASH_IN,144495.18,C1176766781,810202.03,954697.22,C1428831661,956913.37,812418.18,0,0
210,CASH_OUT,133622.1,C1890238411,25319.0,0.0,C1976983084,0.0,133622.1,0,0
251,PAYMENT,26750.28,C554321989,0.0,0.0,M1211301828,0.0,0.0,0,0
185,CASH_OUT,280499.61,C2105077142,0.0,0.0,C1411484427,3649259.87,3929759.47,0,0
354,CASH_IN,90651.05,C1831086088,6825103.94,6915754.99,C713376763,2465515.5,2374864.45,0,0
346,CASH_OUT,259341.86,C794205905,140587.0,0.0,C1736990542,996827.76,1256169.62,0,0
396,CASH_OUT,306331.58,C2064985278,31193.0,0.0,C1922343800,2744421.81,3050753.39,0,0
129,CASH_OUT,221827.63,C2132437334,7056.0,0.0,C947026739,445588.93,667416.56,0,0
132,CASH_OUT,199261.25,C1918003420,0.0,0.0,C1181708889,10193788.92,10393050.17,0,0
20,TRANSFER,134144.06,C788193027,295.0,0.0,C2125071302,8684720.82,8818864.88,0,0
355,CASH_OUT,83779.86,C800370600,0.0,0.0,C200951440,9573966.47,9657746.33,0,0
332,CASH_OUT,91656.53,C422716386,0.0,0.0,C1901906276,111776.45,203432.98,0,0
306,TRANSFER,770880.47,C1126229832,0.0,0.0,C673068808,7411738.74,8182619.21,0,0
17,CASH_IN,98267.11,C493154070,602154.7,700421.81,C814716597,1693745.08,1595477.98,0,0
231,CASH_IN,162864.21,C996183505,1816815.28,1979679.49,C1656506006,199700.37,36836.16,0,0
136,CASH_IN,218854.6,C1747911591,24850.0,243704.6,C1902927985,823312.49,703030.57,0,0
156,CASH_IN,77015.19,C349522125,435949.0,512964.19,C206316722,800857.09,723841.9,0,0
184,CASH_OUT,377450.43,C312491825,0.0,0.0,C1075980653,460019.3,837469.73,0,0
257,CASH_OUT,145950.38,C931912751,0.0,0.0,C1442022106,8475569.03,8621519.41,0,0
189,CASH_OUT,10058.13,C1038242574,0.0,0.0,C1661320351,841045.82,851103.95,0,0
284,CASH_OUT,135188.79,C142358719,0.0,0.0,C416664710,4585804.44,4763388.71,0,0
709,CASH_OUT,143854.64,C1782999104,1545.0,0.0,C1224906494,0.0,143854.64,0,0
42,CASH_OUT,150717.06,C1232145120,0.0,0.0,C60875692,509165.21,659882.27,0,0
302,CASH_OUT,145505.79,C1058305612,39915.0,0.0,C194390242,247533.55,393039.34,0,0
212,CASH_OUT,119921.79,C1297407299,19873.0,0.0,C11945612,0.0,119921.79,0,0
165,TRANSFER,87778.17,C1632161843,1733.0,0.0,C830293590,35525.68,123303.86,0,0
358,CASH_OUT,124981.54,C2097607641,102645.0,0.0,C2107562172,2900418.17,3025399.71,0,0
138,CASH_OUT,148266.15,C726768708,0.0,0.0,C1271636918,1469369.05,1617635.2,0,0
185,PAYMENT,55153.92,C1840276638,0.0,0.0,M85249015,0.0,0.0,0,0
544,CASH_IN,146479.73,C2068903763,14570820.21,14717299.94,C1560676019,2930864.18,2784384.45,0,0
17,CASH_OUT,79654.64,C90248230,0.0,0.0,C247785956,883034.16,962688.81,0,0
355,CASH_IN,449677.49,C739441013,1576298.23,2025975.72,C1093911640,11306140.66,10856463.17,0,0
39,CASH_OUT,66971.84,C622589634,15522.0,0.0,C1034010171,0.0,66971.84,0,0
129,CASH_OUT,234874.22,C867866205,0.0,0.0,C184389998,407307.92,642182.14,0,0
36,CASH_OUT,74898.41,C686526913,0.0,0.0,C2005939725,3384651.94,3459550.35,0,0
255,TRANSFER,505858.1,C981717516,502.0,0.0,C1258126361,3658262.45,4164120.55,0,0
180,CASH_OUT,232005.99,C1239490961,0.0,0.0,C1718370785,1263696.58,1495702.57,0,0
154,CASH_IN,164406.61,C495864632,8804.0,173210.61,C1503350940,1033366.41,868959.8,0,0
154,CASH_IN,321905.8,C1241527736,2391381.79,2713287.58,C1612696108,604966.62,283060.82,0,0
256,CASH_OUT,50321.12,C911169440,6694.0,0.0,C1941960795,4027651.48,4077972.6,0,0
253,CASH_OUT,344505.08,C1093222756,209802.98,0.0,C1485064978,1035063.99,1379569.08,0,0
229,CASH_OUT,143016.1,C1481984190,10986.0,0.0,C1702330710,3091716.21,3234732.31,0,0
330,CASH_OUT,140308.18,C2129482754,41789.0,0.0,C1359953411,18365.56,158673.74,0,0
324,CASH_OUT,619001.18,C2099491159,61839.0,0.0,C747395830,0.0,619001.18,0,0
184,CASH_OUT,121501.31,C1512624394,0.0,0.0,C280090898,419807.24,541308.55,0,0
159,CASH_OUT,82525.09,C777349153,0.0,0.0,C1045414794,4108563.12,4191088.21,0,0
298,CASH_OUT,344725.58,C656175028,2664.0,0.0,C830293590,244943.63,589669.21,0,0
157,CASH_OUT,96479.87,C684788499,141236.0,44756.13,C1049795740,9520962.92,9617442.79,0,0
40,TRANSFER,297711.39,C1009353830,0.0,0.0,C697783649,2765944.85,3063656.24,0,0
40,CASH_IN,52290.01,C434161545,7461578.82,7513868.82,C542787796,311721.9,259431.89,0,0
17,CASH_OUT,343480.85,C495361240,12073.0,0.0,C13750897,328068.21,394698.95,0,0
48,PAYMENT,3055.03,C1376068843,15593.0,12537.97,M927578413,0.0,0.0,0,0
182,CASH_OUT,32791.11,C1059300505,31694.0,0.0,C308006848,0.0,32791.11,0,0
330,CASH_OUT,284825.45,C1838276639,0.0,0.0,C1391856645,7402716.14,7687541.59,0,0
162,CASH_OUT,47768.78,C1394526082,32603.0,0.0,C967226405,0.0,47768.78,0,0
135,CASH_OUT,6036.57,C254076274,0.0,0.0,C646127870,565157.07,571193.63,0,0
227,CASH_OUT,297148.28,C1516869719,167598.74,0.0,C1112629386,1044071.78,1341220.06,0,0
236,PAYMENT,12148.89,C1402815708,58186.0,46037.11,M651448901,0.0,0.0,0,0
185,CASH_OUT,122804.99,C1482047130,200646.0,77841.01,C821758097,11795427.37,11918232.36,0,0
180,CASH_IN,233252.22,C251245555,4422733.03,4655985.25,C660065181,382242.37,148990.14,0,0
355,CASH_IN,148165.07,C393328544,3644510.25,3792675.31,C1258483740,7069255.19,6921090.12,0,0
284,CASH_IN,79547.77,C546609649,232.0,79779.77,C1148675499,42750.54,0.0,0,0
522,CASH_IN,326084.4,C1088429802,10818035.55,11144119.95,C141141066,1684176.96,1358092.56,0,0
281,CASH_OUT,441892.92,C229723473,441892.92,0.0,C605036987,350202.17,792095.1,1,0
258,CASH_OUT,203133.41,C319482224,29284.0,0.0,C1256545087,0.0,203133.41,0,0
326,TRANSFER,536606.55,C58145529,0.0,0.0,C671135114,1411495.17,1948101.73,0,0
208,CASH_OUT,8954.75,C1817899763,0.0,0.0,C2068912679,305340.63,375847.66,0,0
13,CASH_IN,46528.19,C881281930,125708.0,172236.19,C1421192075,784789.75,1456099.1,0,0
233,CASH_IN,56736.52,C162258716,100477.0,157213.52,C1398968579,18390.21,0.0,0,0
48,CASH_IN,482798.73,C1800263421,1532783.67,2015582.4,C313857348,1635998.48,1153199.75,0,0
156,TRANSFER,1381275.61,C913963470,0.0,0.0,C789014007,4183872.49,5565148.1,0,0
354,CASH_IN,102287.9,C1294787978,1064110.54,1166398.44,C2141057389,1714620.18,1612332.29,0,0
160,CASH_OUT,268185.18,C1630266274,0.0,0.0,C1879948586,762597.25,1030782.43,0,0
95,CASH_OUT,226580.55,C1074759139,24874.5,0.0,C1351364340,6164988.19,6391568.74,0,0
588,PAYMENT,1135.69,C703365433,848.0,0.0,M861757050,0.0,0.0,0,0
514,CASH_OUT,412517.17,C1526422048,7646.71,0.0,C390035878,645648.92,1058166.08,0,0
303,PAYMENT,2277.78,C10124556,72041.0,69763.22,M35228387,0.0,0.0,0,0
524,CASH_IN,61899.78,C1673356421,1417297.57,1479197.35,C410529823,3597640.14,3535740.36,0,0
96,CASH_IN,378550.76,C1297208894,4191811.22,4570361.98,C217441120,4581243.24,4202692.48,0,0
299,CASH_IN,326912.73,C1647231404,5325060.22,5651972.95,C1841686755,2585821.05,2258908.32,0,0
46,TRANSFER,2586139.44,C1208493669,0.0,0.0,C1140712423,8772394.83,11358534.27,0,0
209,CASH_OUT,96740.06,C1913058886,57124.48,0.0,C1192284712,4149501.15,4246241.21,0,0
133,TRANSFER,369489.26,C1446480259,0.0,0.0,C1092318644,10126866.52,10496355.78,0,0
547,CASH_IN,144223.51,C944363163,10782.0,155005.51,C1326399813,0.0,0.0,0,0
399,CASH_IN,11581.3,C106070467,17147.0,28728.3,C106378482,2661655.26,2650073.96,0,0
236,CASH_OUT,98625.08,C572844379,0.0,0.0,C349781301,685708.18,784333.27,0,0
360,CASH_OUT,12073.77,C1513568331,0.0,0.0,C1665025289,6098839.25,6110913.02,0,0
403,CASH_OUT,141415.44,C1160767019,3516.0,0.0,C1902984290,0.0,141415.44,0,0
236,TRANSFER,296696.33,C461970210,0.0,0.0,C1388096959,303028.61,599724.94,0,0
14,TRANSFER,1351544.74,C2043984293,0.0,0.0,C1065349988,2079663.29,3447235.51,0,0
328,CASH_IN,390682.5,C161892135,8685650.99,9076333.49,C1544738688,1458216.21,1067533.72,0,0
19,PAYMENT,39285.54,C779984566,201143.05,161857.5,M325247416,0.0,0.0,0,0
251,CASH_IN,28379.14,C2032852593,3236239.58,3264618.72,C1786144514,1532834.02,1504454.88,0,0
328,CASH_OUT,346126.62,C1305036653,5532.0,0.0,C2101891775,0.0,346126.62,0,0
187,CASH_IN,106529.18,C1883591716,3838134.29,3944663.47,C260576763,1392552.0,1286022.82,0,0
186,CASH_OUT,2781.41,C400745078,41641.0,38859.59,C1626619518,3153857.55,3156638.96,0,0
256,CASH_OUT,30043.32,C346236816,206.0,0.0,C1511183581,42513.08,72556.4,0,0
261,CASH_IN,94172.12,C992406299,128.0,94300.12,C1045024523,1051009.14,956837.03,0,0
230,TRANSFER,856454.68,C1819124803,0.0,0.0,C849021900,3820630.99,4677085.67,0,0
11,CASH_IN,96941.12,C1758473620,2123389.61,2220330.73,C1101441872,839843.21,742902.09,0,0
158,TRANSFER,1013662.64,C293324182,0.0,0.0,C1619036760,2552303.85,3565966.49,0,0
354,PAYMENT,3722.13,C553115724,0.0,0.0,M1552622303,0.0,0.0,0,0
43,PAYMENT,12855.54,C1892201484,0.0,0.0,M553267287,0.0,0.0,0,0
9,CASH_IN,93665.58,C1230604916,42012.0,135677.58,C839259296,21197.0,0.0,0,0
298,CASH_IN,235051.18,C55500219,138874.42,373925.6,C995043220,1557342.65,1200145.47,0,0
209,CASH_IN,459948.25,C604395735,25966699.8,26426648.05,C1969723986,2264542.97,1804594.72,0,0
97,CASH_OUT,329913.76,C853459326,0.0,0.0,C28783325,11608405.21,11938318.97,0,0
135,PAYMENT,24734.73,C977790647,0.0,0.0,M1694173406,0.0,0.0,0,0
180,CASH_OUT,140391.97,C1403637876,0.0,0.0,C1325281003,286663.34,427055.3,0,0
132,CASH_OUT,66543.5,C1345109675,0.0,0.0,C575638324,2808657.09,2875200.59,0,0
185,CASH_OUT,226421.97,C165522082,0.0,0.0,C573200870,547190.1,773612.08,0,0
207,CASH_OUT,152452.35,C126806522,33004.0,0.0,C835636847,116001.86,268454.21,0,0
20,TRANSFER,2634259.54,C220550491,0.0,0.0,C370224798,3856702.92,6490962.45,0,0
276,CASH_IN,64799.67,C1831830159,6762863.57,6827663.23,C195559716,64937.67,138.01,0,0
237,TRANSFER,1764948.46,C1987912936,0.0,0.0,C670347095,13200927.05,14965875.51,0,0
133,CASH_IN,62159.72,C131259747,2007596.4,2069756.12,C1733162010,257132.25,194972.53,0,0
155,CASH_OUT,18969.92,C41202612,0.0,0.0,C329030670,71574.14,90544.06,0,0
274,CASH_OUT,147024.66,C1363428854,14565.0,0.0,C1038460889,998815.13,1145839.79,0,0
155,CASH_OUT,57363.06,C1271840425,0.0,0.0,C1767389067,2146372.39,2203735.46,0,0
154,TRANSFER,1674461.15,C1036239094,118862.0,0.0,C1434520582,40000.81,1714461.96,0,0
276,CASH_OUT,310234.1,C800037693,0.0,0.0,C1135878857,1204260.13,1514494.23,0,0
140,CASH_OUT,276336.83,C579699608,10978.0,0.0,C632437973,0.0,276336.83,0,0
352,CASH_OUT,278780.23,C362912938,10069.0,0.0,C437448683,0.0,278780.23,0,0
45,CASH_IN,371816.5,C582163276,1851550.64,2223367.14,C290269528,3338620.06,2966803.55,0,0
379,CASH_IN,96521.68,C1505157085,12549.0,109070.68,C1609171613,752359.88,655838.21,0,0
695,CASH_OUT,130854.03,C1923345587,11812.0,0.0,C911339546,0.0,130854.03,0,0
9,CASH_OUT,597256.35,C761883082,48017.64,0.0,C1508330669,1984701.08,2046918.8,0,0
8,CASH_OUT,393869.53,C212939663,0.0,0.0,C17820769,608893.6,1002763.13,0,0
227,CASH_IN,88027.29,C633195214,101694.0,189721.29,C522001237,23858326.38,23770299.09,0,0
374,CASH_OUT,9725.81,C2130444392,0.0,0.0,C1441292929,2670431.95,2680157.76,0,0
308,CASH_IN,223821.51,C1750920672,7042.0,230863.51,C1003294383,21399.87,0.0,0,0
38,CASH_OUT,31229.04,C1513500696,29483.0,0.0,C1965664878,0.0,31229.04,0,0
374,CASH_OUT,435398.0,C1502279033,0.0,0.0,C776823334,1322877.9,1758275.91,0,0
162,CASH_IN,209434.1,C2002644456,2788917.91,2998352.01,C1410772005,1631333.14,1421899.05,0,0
155,TRANSFER,42898.59,C488639496,0.0,0.0,C1798936808,155752.33,198650.93,0,0
38,CASH_IN,2554.78,C2039048873,3191.0,5745.78,C1465691990,102213.87,99659.09,0,0
